date,bond_yield,total_rate,grand_annual,grand_interest,source
2026-01-28 19:56,3.86,4.76,21326261.37,302787841.21
2026-01-28 19:59,3.862,4.762,21331198.01,302935940.27
2026-01-28 20:00,3.863,4.763,21333666.52,303009995.64
2026-01-28 20:16,3.862,4.762,21331198.01,302935940.27
2026-01-28 20:27,3.865,4.765,21338603.93,303158118.03,Trading Economics
2026-01-28 21:01,3.864,4.764,21336135.16,303084054.89,Trading Economics

2026-01-28 21:08,3.863,4.763,21333666.52,303009995.64,Trading Economics
2026-01-28 21:38,3.865,4.765,21338603.93,303158118.03,Trading Economics
2026-01-28 21:41,3.865,4.765,21338603.93,303158118.03,Trading Economics
2026-01-28 21:46,3.865,4.765,21338603.93,303158118.03,Trading Economics
2026-01-28 21:52,3.865,4.765,21338603.93,303158118.03,Trading Economics
2026-01-28 22:57,3.865,4.765,21338603.93,303158118.03,Trading Economics
2026-01-28 23:51,3.865,4.765,21338603.93,303158118.03,Trading Economics
2026-01-29 04:22,3.864,4.764,21336135.16,303084054.89,Trading Economics
2026-01-29 04:54,3.864,4.764,21336135.16,303084054.89,Trading Economics
2026-01-29 07:29,3.864,4.764,21336135.16,303084054.89,Trading Economics
2026-01-29 10:03,3.864,4.764,21336135.16,303084054.89,Trading Economics
2026-01-29 11:16,3.88,4.78,21375651.05,304269531.54,Trading Economics
2026-01-29 11:57,3.873,4.773,21358358.77,303750763.1,Trading Economics
2026-01-29 14:11,3.885,4.785,21388006.56,304640196.92,Trading Economics
2026-01-29 15:17,3.862,4.762,21331198.01,302935940.27,Trading Economics
2026-01-29 17:04,3.861,4.761,21328729.63,302861888.8,Trading Economics
2026-01-29 19:39,3.853,4.753,21308987.24,302269617.07,Trading Economics
2026-01-29 20:56,3.866,4.766,21341072.84,303232185.06,Trading Economics
2026-01-29 21:54,3.865,4.765,21338603.93,303158118.03,Trading Economics
2026-01-29 22:58,3.865,4.765,21338603.93,303158118.03,Trading Economics
2026-01-29 23:51,3.865,4.765,21338603.93,303158118.03,Trading Economics
2026-01-30 04:58,3.865,4.765,21338603.93,303158118.03,Trading Economics
2026-01-30 07:30,3.865,4.765,21338603.93,303158118.03,Trading Economics
2026-01-30 09:57,3.865,4.765,21338603.93,303158118.03,Trading Economics
